id,status,score,progress,completedAt,media_id
59108099,COMPLETED,8,1,04-28-2019,523
59108100,COMPLETED,8,25,11-27-2021,4224
59108101,COMPLETED,7,26,02-13-2022,6
59108105,COMPLETED,5,12,04-29-2018,12883
59108106,COMPLETED,6,12,12-27-2018,101506
59108108,COMPLETED,8,13,08-15-2018,98514
59108109,COMPLETED,6,11,03-08-2019,10798
59108111,COMPLETED,8,12,09-26-2019,21696
59108112,COMPLETED,9,11,01-28-2018,10162
59108114,COMPLETED,8,13,,21827
59108119,COMPLETED,9,11,04-30-2019,99578
59108122,COMPLETED,7,12,02-08-2019,20966
59108123,COMPLETED,7,12,05-05-2019,21613
59108124,COMPLETED,8,12,06-09-2019,4548
59108125,COMPLETED,6,12,06-09-2022,100483
59108127,COMPLETED,10,12,04-13-2018,98444
59108128,COMPLETED,9,13,05-02-2021,104459
59934268,COMPLETED,8,2,10-01-2019,106509
59934269,COMPLETED,8,12,04-05-2021,108511
60093974,COMPLETED,5,1,03-23-2019,103256
60419863,COMPLETED,6,12,11-08-2019,103139
60425137,COMPLETED,7,1,09-24-2020,108623
60495333,COMPLETED,7,4,,16001
60496207,COMPLETED,7,8,03-13-2021,108631
60643577,COMPLETED,5,26,04-07-2019,855
60794354,COMPLETED,7,1,05-11-2019,12355
60794605,COMPLETED,7,1,04-22-2019,572
60794614,COMPLETED,9,1,04-08-2019,10408
60794620,COMPLETED,8,1,05-02-2019,20981
60794857,COMPLETED,7,1,04-01-2019,513
60794860,COMPLETED,7,1,04-02-2019,512
63964942,COMPLETED,8,12,04-28-2019,21093
64432593,COMPLETED,5,1,04-27-2019,1654
64694396,COMPLETED,7,2,04-28-2019,20811
64694425,COMPLETED,7,4,04-28-2019,108942
64789343,COMPLETED,6,2,05-04-2019,9062
64789351,COMPLETED,5,1,05-03-2019,10067
64822503,COMPLETED,6,12,06-23-2019,104325
64822569,COMPLETED,10,26,09-28-2019,101922
67755822,COMPLETED,9,13,06-15-2019,18497
70252670,COMPLETED,7,12,08-26-2019,16732
70432399,COMPLETED,9,16,04-03-2021,110277
70739634,COMPLETED,8,12,04-12-2021,109403
71074729,COMPLETED,10,24,,105333
71438277,COMPLETED,7,12,09-04-2019,20654
71438285,COMPLETED,7,1,09-06-2019,21753
71491552,COMPLETED,5,12,09-28-2019,105074
74674640,COMPLETED,6,12,10-01-2019,107226
74879318,COMPLETED,7,12,08-10-2019,98820
74922517,COMPLETED,8,24,12-27-2019,105310
78260718,COMPLETED,4,12,10-02-2019,104723
79576539,COMPLETED,8,1,07-31-2021,112151
79967362,COMPLETED,7,12,12-29-2019,109963
79967865,COMPLETED,8,21,03-31-2020,103275
80341986,COMPLETED,4,52,11-10-2019,1138
80543194,COMPLETED,6,12,04-01-2020,104159
80543217,COMPLETED,4,12,12-27-2019,104722
80584908,COMPLETED,6,1,10-09-2019,99394
80894882,COMPLETED,3,10,10-07-2020,12317
81463442,COMPLETED,6,12,05-02-2020,108759
81990478,COMPLETED,6,12,10-24-2019,97875
82365671,COMPLETED,10,12,04-17-2020,101759
83122353,COMPLETED,8,13,10-02-2020,108632
83136421,COMPLETED,6,12,12-22-2019,107339
83136952,COMPLETED,8,12,12-28-2019,105156
83372190,COMPLETED,6,24,12-29-2019,101348
83372289,COMPLETED,8,12,12-27-2019,108478
83595384,COMPLETED,6,12,04-16-2020,20829
83595409,COMPLETED,7,12,05-10-2020,8769
83595579,COMPLETED,7,11,01-20-2021,20513
83595586,COMPLETED,5,12,05-30-2020,8841
83595590,COMPLETED,7,1,12-15-2019,21403
83595640,COMPLETED,6,14,02-08-2020,4382
83595667,COMPLETED,7,1,08-07-2021,5681
83599114,COMPLETED,8,1,02-18-2020,7311
83600564,COMPLETED,8,12,02-14-2021,17549
83600645,COMPLETED,8,24,10-09-2021,101347
83603498,COMPLETED,7,12,,11499
83603537,COMPLETED,5,12,05-17-2020,99483
83729317,COMPLETED,6,11,11-10-2019,101261
83730153,COMPLETED,6,1,11-08-2019,100728
