media_id,status,score,progress,completedAt
108307,COMPLETED,6,8,01-31-2021
104679,COMPLETED,4,12,12-31-2019
18671,COMPLETED,7,12,11-09-2019
20889,COMPLETED,7,1,11-09-2019
98762,COMPLETED,7,1,11-10-2019
16934,COMPLETED,7,1,11-10-2019
20021,COMPLETED,6,1,12-05-2019
442,COMPLETED,6,1,11-30-2019
936,COMPLETED,6,1,11-30-2019
2144,COMPLETED,7,1,11-30-2019
113359,COMPLETED,9,13,07-08-2021
113936,COMPLETED,8,11,04-01-2021
1689,COMPLETED,7,3,05-19-2020
114236,COMPLETED,7,24,02-12-2021
16694,COMPLETED,7,1,01-14-2020
13055,COMPLETED,7,2,01-14-2020
108617,COMPLETED,8,12,04-04-2020
112641,COMPLETED,10,12,07-27-2020
110270,COMPLETED,4,12,04-09-2020
104461,COMPLETED,7,12,03-31-2020
105228,COMPLETED,7,12,04-07-2020
21485,COMPLETED,6,1,03-04-2020
16239,COMPLETED,7,1,03-04-2020
4155,COMPLETED,8,1,03-04-2020
12859,COMPLETED,8,1,03-07-2020
21335,COMPLETED,8,1,03-29-2020
8740,COMPLETED,7,1,03-04-2020
15323,COMPLETED,7,1,03-03-2020
21230,COMPLETED,7,1,03-04-2020
3848,COMPLETED,8,1,03-03-2020
20835,COMPLETED,8,1,07-08-2020
16468,COMPLETED,6,2,03-04-2020
100723,COMPLETED,7,1,04-09-2020
5252,COMPLETED,7,1,03-08-2020
110851,COMPLETED,7,1,03-15-2020
21831,COMPLETED,7,1,03-16-2020
115230,COMPLETED,8,13,07-08-2020
114043,COMPLETED,7,13,09-26-2020
112803,COMPLETED,7,12,09-25-2020
114308,COMPLETED,5,11,09-19-2020
111323,COMPLETED,5,12,01-17-2021
117193,COMPLETED,7,25,09-25-2021
9515,COMPLETED,6,1,04-10-2020
106479,COMPLETED,7,12,10-09-2021
10020,COMPLETED,6,4,05-11-2020
18857,COMPLETED,6,3,05-18-2020
13659,COMPLETED,6,13,05-18-2020
10209,COMPLETED,5,2,05-30-2020
16762,COMPLETED,6,1,07-01-2020
15617,COMPLETED,7,6,05-26-2020
100093,COMPLETED,6,12,06-16-2020
112444,COMPLETED,7,13,09-26-2020
226,COMPLETED,6,13,08-08-2020
113813,COMPLETED,7,12,09-27-2020
20574,COMPLETED,8,12,08-20-2020
21789,COMPLETED,6,3,08-05-2020
104307,COMPLETED,7,3,08-26-2020
108581,COMPLETED,7,9,08-26-2020
101001,COMPLETED,8,12,09-13-2020
339,COMPLETED,7,13,04-26-2021
3287,COMPLETED,1,1,08-24-2020
330,COMPLETED,6,13,05-02-2021
13405,COMPLETED,1,1,08-23-2020
99302,COMPLETED,8,1,08-24-2020
6953,COMPLETED,2,1,08-23-2020
20946,COMPLETED,8,24,05-26-2022
10681,COMPLETED,5,1,08-26-2020
110349,COMPLETED,9,23,10-05-2020
21790,COMPLETED,4,2,09-17-2020
110446,COMPLETED,1,12,10-01-2020
415,COMPLETED,7,1,09-18-2020
110355,COMPLETED,8,12,02-04-2021
4531,COMPLETED,1,1,09-21-2020
124223,COMPLETED,7,13,05-02-2021
116006,COMPLETED,7,13,01-09-2022
101343,COMPLETED,8,1,10-03-2020
101344,COMPLETED,9,1,10-04-2020
100643,COMPLETED,10,1,10-05-2020
109190,COMPLETED,7,1,10-06-2020
14173,COMPLETED,3,1,10-07-2020
108725,COMPLETED,6,11,
119661,COMPLETED,7,12,04-01-2021
117533,COMPLETED,7,13,03-23-2021
103632,COMPLETED,5,24,08-30-2021
21295,COMPLETED,5,1,10-18-2020
9260,COMPLETED,8,1,10-23-2020
21399,COMPLETED,8,1,10-25-2020
21400,COMPLETED,8,1,10-25-2020
125367,COMPLETED,9,13,08-12-2022
15689,COMPLETED,7,4,10-27-2020
10029,COMPLETED,7,1,11-01-2020
104990,COMPLETED,8,1,01-17-2021
102649,COMPLETED,7,1,01-12-2021
104382,COMPLETED,7,1,01-17-2021
113917,COMPLETED,6,1,02-01-2021
20593,COMPLETED,7,5,01-12-2021
105143,COMPLETED,7,1,02-12-2021
113415,COMPLETED,10,24,04-04-2021
113425,COMPLETED,2,12,04-19-2021
21585,COMPLETED,7,1,02-26-2021
112608,COMPLETED,7,12,08-07-2021
124845,COMPLETED,7,12,04-02-2021
131681,COMPLETED,8,12,04-17-2022
131773,COMPLETED,5,1,07-06-2021
108465,COMPLETED,8,11,
125426,COMPLETED,6,5,
116742,COMPLETED,7,12,10-24-2021
131942,COMPLETED,8,12,03-27-2022
116588,COMPLETED,6,12,
132193,COMPLETED,7,5,11-28-2021
120697,COMPLETED,7,12,07-24-2021
13331,COMPLETED,7,12,04-29-2021
128547,COMPLETED,8,13,07-07-2021
128546,COMPLETED,9,13,07-08-2021
114535,COMPLETED,8,20,09-11-2021
109298,COMPLETED,7,12,05-27-2022
1519,COMPLETED,7,12,05-09-2021
4901,COMPLETED,7,5,05-13-2021
20918,COMPLETED,8,4,05-08-2021
21262,COMPLETED,8,12,06-14-2021
100815,COMPLETED,7,6,
21520,COMPLETED,7,12,06-16-2021
127720,COMPLETED,8,12,12-24-2021
125368,COMPLETED,7,1,07-07-2021
124080,COMPLETED,7,13,05-17-2021
133965,COMPLETED,8,12,01-16-2022
21577,COMPLETED,8,4,05-16-2021
129874,COMPLETED,8,7,01-09-2022
111321,COMPLETED,7,13,08-16-2022
116589,COMPLETED,8,11,08-14-2021
131586,COMPLETED,8,12,03-20-2022
131083,COMPLETED,7,12,12-24-2021
122052,COMPLETED,6,12,12-05-2021
120120,COMPLETED,7,24,10-01-2021
107625,COMPLETED,7,1,10-16-2021
6114,COMPLETED,7,26,10-29-2021
100077,COMPLETED,8,12,10-29-2021
99425,COMPLETED,7,1,10-27-2021
2890,COMPLETED,7,1,10-29-2021
967,COMPLETED,7,109,12-10-2021
140960,COMPLETED,10,12,07-19-2022
142329,COMPLETED,9,11,03-20-2022
1356,COMPLETED,7,43,12-25-2021
113717,COMPLETED,10,23,03-28-2022
1357,COMPLETED,6,3,01-08-2022
132405,COMPLETED,7,12,04-27-2022
4106,COMPLETED,7,1,02-14-2022
6372,COMPLETED,6,1,03-20-2022
6637,COMPLETED,6,1,03-20-2022
14189,COMPLETED,5,1,03-24-2022
141014,COMPLETED,7,12,07-11-2022
21861,COMPLETED,7,12,09-13-2022
20755,PLANNING,0,0,
21078,PLANNING,0,0,
20935,PLANNING,0,0,
269,PLANNING,0,0,
1050,PLANNING,0,0,
21311,PLANNING,0,0,
13349,PLANNING,0,0,
2167,PLANNING,0,0,
20031,PLANNING,0,0,
8915,PLANNING,0,0,
2025,PLANNING,0,0,
21123,PLANNING,0,0,
20920,PLANNING,0,0,
6746,PLANNING,0,0,
6702,PLANNING,0,0,
21643,PLANNING,0,0,
97766,PLANNING,0,0,
467,PLANNING,0,0,
267,PLANNING,0,0,
263,PLANNING,0,0,
6895,PLANNING,0,0,
20881,PLANNING,0,0,
11617,PLANNING,0,0,
101316,PLANNING,0,0,
101004,PLANNING,0,0,
20527,PLANNING,0,0,
98314,PLANNING,0,0,
99468,PLANNING,0,0,
12031,PLANNING,0,0,
15379,PLANNING,0,0,
237,PLANNING,0,0,
97,PLANNING,0,0,
21858,PLANNING,0,0,
17265,PLANNING,0,0,
14513,PLANNING,0,0,
76,PLANNING,0,0,
20708,PLANNING,0,0,
20537,PLANNING,0,0,
21050,PLANNING,0,0,
15315,PLANNING,0,0,
21306,PLANNING,0,0,
16067,PLANNING,0,0,
1735,PLANNING,0,0,
13585,PLANNING,0,0,
12467,PLANNING,0,0,
21455,PLANNING,0,0,
10165,PLANNING,0,0,
18897,PLANNING,0,0,
19221,PLANNING,0,0,
101368,PLANNING,0,0,
97980,PLANNING,0,0,
21049,PLANNING,0,0,
13599,PLANNING,0,0,
45,PLANNING,0,0,
99507,PLANNING,0,0,
1827,PLANNING,0,0,
8675,PLANNING,0,0,
20496,PLANNING,0,0,
20678,PLANNING,0,0,
20812,PLANNING,0,0,
20972,PLANNING,0,0,
21860,PLANNING,0,0,
5958,PLANNING,0,0,
21499,PLANNING,0,0,
20704,PLANNING,0,0,
4654,PLANNING,0,0,
98202,PLANNING,0,0,
12029,PLANNING,0,0,
21038,PLANNING,0,0,
20729,PLANNING,0,0,
20698,PLANNING,0,0,
18677,PLANNING,0,0,
14075,PLANNING,0,0,
101249,PLANNING,0,0,
245,PLANNING,0,0,
20789,PLANNING,0,0,
6213,PLANNING,0,0,
19,PLANNING,0,0,
15051,PLANNING,0,0,
6956,PLANNING,0,0,
10800,PLANNING,0,0,
106286,PLANNING,0,0,
11665,PLANNING,0,0,
7785,PLANNING,0,0,
16417,PLANNING,0,0,
10232,PLANNING,0,0,
99698,PLANNING,0,0,
15227,PLANNING,0,0,
112357,PLANNING,0,0,
21366,PLANNING,0,0,
10793,PLANNING,0,0,
13655,PLANNING,0,0,
2476,PLANNING,0,0,
1690,PLANNING,0,0,
15771,PLANNING,0,0,
21804,PLANNING,0,0,
9289,PLANNING,0,0,
12189,PLANNING,0,0,
14813,PLANNING,0,0,
1943,PLANNING,0,0,
160,PLANNING,0,0,
101380,PLANNING,0,0,
20709,PLANNING,0,0,
2418,PLANNING,0,0,
129188,PLANNING,0,0,
131518,PLANNING,0,0,
131680,PLANNING,0,0,
127230,PLANNING,0,0,
98448,PLANNING,0,0,
103047,PLANNING,0,0,
135865,PLANNING,0,0,
136430,PLANNING,0,0,
105334,PLANNING,0,0,
136804,PLANNING,0,0,
137819,PLANNING,0,0,
138565,PLANNING,0,0,
97888,PLANNING,0,0,
392,PLANNING,0,0,
12531,PLANNING,0,0,
17909,PLANNING,0,0,
2402,PLANNING,0,0,
139498,PLANNING,0,0,
249,PLANNING,0,0,
570,PLANNING,0,0,
369,PLANNING,0,0,
759,PLANNING,0,0,
26,PLANNING,0,0,
104460,PLANNING,0,0,
3002,PLANNING,0,0,
140439,PLANNING,0,0,
140596,PLANNING,0,0,
141902,PLANNING,0,0,
142343,PLANNING,0,0,
