score,id,format,season,season_year,episodes,genres,source,tags,studios
8,777,OVA,WINTER,2006,10,"[""ACTION"", ""HORROR"", ""SUPERNATURAL""]",MANGA,"[""VAMPIRE"", ""GORE"", ""SEINEN"", ""WAR"", ""FOREIGN"", ""ANTI-HERO"", ""URBAN FANTASY"", ""MILITARY"", ""GUNS"", ""URBAN"", ""PRIMARILY ADULT CAST"", ""BODY HORROR"", ""MALE PROTAGONIST"", ""CANNIBALISM"", ""RELIGION"", ""NOIR"", ""FEMALE PROTAGONIST"", ""BUTLER"", ""MONSTER GIRL"", ""SLAPSTICK"", ""CHIBI"", ""NUDITY"", ""CGI"", ""RAPE"", ""AGE REGRESSION"", ""WEREWOLF"", ""NEKOMIMI"", ""TOMBOY""]","[""MADHOUSE"", ""SATELIGHT"", ""GRAPHINICA""]"
8,813,TV,SPRING,1989,291,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""FANTASY"", ""SUPERNATURAL""]",MANGA,"[""SHOUNEN"", ""SUPER POWER"", ""MARTIAL ARTS"", ""HENSHIN"", ""CULTIVATION"", ""MALE PROTAGONIST"", ""ALIENS"", ""SPACE"", ""AFTERLIFE"", ""PRIMARILY ADULT CAST"", ""MYTHOLOGY"", ""TIME SKIP"", ""DRAGONS"", ""TRAGEDY"", ""COMING OF AGE"", ""ROBOTS"", ""TIME MANIPULATION"", ""GODS"", ""CYBORG"", ""DINOSAURS"", ""GORE"", ""REVENGE"", ""GENDER BENDING"", ""BODY SWAPPING"", ""BATTLE ROYALE"", ""REINCARNATION"", ""ANACHRONISM"", ""DISSOCIATIVE IDENTITIES"", ""RURAL"", ""MEMORY MANIPULATION""]","[""TOEI ANIMATION""]"
7,849,TV,SPRING,2006,14,"[""COMEDY"", ""MYSTERY"", ""SCI-FI"", ""SLICE OF LIFE"", ""SUPERNATURAL""]",LIGHT_NOVEL,"[""SCHOOL CLUB"", ""ACHRONOLOGICAL ORDER"", ""URBAN FANTASY"", ""GODS"", ""SCHOOL"", ""TIME MANIPULATION"", ""ALIENS"", ""ALTERNATE UNIVERSE"", ""PRIMARILY TEEN CAST"", ""PHILOSOPHY"", ""PARODY"", ""MALE PROTAGONIST"", ""META"", ""MAGIC"", ""OTAKU CULTURE"", ""TSUNDERE"", ""KUUDERE"", ""FEMALE PROTAGONIST"", ""ENSEMBLE CAST"", ""MAIDS"", ""BASEBALL"", ""MAHJONG""]","[""KYOTO ANIMATION""]"
5,855,TV,SPRING,2006,26,"[""DRAMA"", ""ROMANCE""]",OTHER,"[""YURI"", ""LOVE TRIANGLE"", ""FEMALE PROTAGONIST"", ""SCHOOL"", ""PRIMARILY FEMALE CAST"", ""TOMBOY"", ""AMNESIA""]","[""MADHOUSE""]"
7,889,TV,SPRING,2006,12,"[""ACTION"", ""ADVENTURE"", ""DRAMA"", ""THRILLER""]",MANGA,"[""SEINEN"", ""GUNS"", ""CRIME"", ""PIRATES"", ""PRIMARILY ADULT CAST"", ""ANTI-HERO"", ""FEMALE PROTAGONIST"", ""GANGS"", ""MAFIA"", ""ASSASSINS"", ""FOREIGN"", ""TOMBOY"", ""SHIPS"", ""EPISODIC"", ""MALE PROTAGONIST"", ""NOIR"", ""TRIADS"", ""MILITARY"", ""MAIDS"", ""POLITICS"", ""NUDITY""]","[""MADHOUSE""]"
5,891,MOVIE,SUMMER,1987,1,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""SUPERNATURAL""]",MANGA,"[""SHOUNEN"", ""SUPER POWER"", ""MARTIAL ARTS"", ""VAMPIRE"", ""MALE PROTAGONIST""]","[""TOEI ANIMATION""]"
7,892,MOVIE,SUMMER,1988,1,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""SCI-FI""]",MANGA,"[""SHOUNEN"", ""MARTIAL ARTS"", ""SUPER POWER"", ""MALE PROTAGONIST""]","[""TOEI ANIMATION""]"
6,893,MOVIE,SPRING,1996,1,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""SCI-FI""]",MANGA,"[""SHOUNEN"", ""SUPER POWER"", ""MARTIAL ARTS"", ""MALE PROTAGONIST"", ""MILITARY""]","[""TOEI ANIMATION""]"
5,894,MOVIE,SUMMER,1989,1,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""SCI-FI""]",MANGA,"[""SHOUNEN"", ""SUPER POWER"", ""MARTIAL ARTS"", ""MALE PROTAGONIST"", ""GODS"", ""ALIENS"", ""DEMONS""]","[""TOEI ANIMATION""]"
5,895,MOVIE,SPRING,1990,1,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""SCI-FI""]",MANGA,"[""SHOUNEN"", ""PRIMARILY MALE CAST"", ""SUPER POWER"", ""MARTIAL ARTS"", ""MALE PROTAGONIST"", ""ALIENS"", ""PRIMARILY ADULT CAST"", ""ROBOTS"", ""REVENGE""]","[""TOEI ANIMATION""]"
